English,Danish
"The sun is shining today.","Solen skinner i dag."
"She runs five miles every morning.","Hun løber fem miles hver morgen."
"My favorite color is blue.","Min yndlingsfarve er blå."
"They are planning a surprise party.","De planlægger en overraskelsesfest."
"He plays the guitar very well.","Han spiller guitar meget godt."
"We need to finish this project by Friday.","Vi skal færdiggøre dette projekt inden fredag."
"Have you seen that new movie yet?","Har du set den nye film endnu?"
"She speaks three languages fluently.","Hun taler tre sprog flydende."
"The cat always sleeps on the sofa.","Katten sover altid på sofaen."
"I love eating pizza with extra cheese.","Jeg elsker at spise pizza med ekstra ost."
"He enjoys listening to classical music.","Han nyder at lytte til klassisk musik."
"The meeting starts at 9 AM sharp.","Mødet starter præcis kl. 9."
"Do you have any plans for the weekend?","Har du nogle planer for weekenden?"
"She bought a new dress for the party.","Hun købte en ny kjole til festen."
"We should take a walk in the park.","Vi burde tage en tur i parken."
"The book you lent me was fascinating.","Bogen, du lånte mig, var fascinerende."
"He always forgets his keys at home.","Han glemmer altid sine nøgler derhjemme."
"She wants to travel around the world.","Hun vil gerne rejse rundt omkring i verden."
"This restaurant serves delicious food.","Denne restaurant serverer lækker mad."
"They are painting their house this weekend.","De maler deres hus denne weekend."
"Have you ever been to Paris before?","Har du nogensinde været i Paris før?"
"He needs to finish his homework first.","Han skal først færdiggøre sine lektier."
"She is learning how to play the piano.","Hun lærer at spille klaver."
"Let's meet at the cafe around 5 PM.","Lad os mødes på cafeen omkring kl. 17."
"I prefer tea over coffee in the morning.","Jeg foretrækker te frem for kaffe om morgenen."
"He is studying hard for his exams.","Han studerer hårdt til sine eksamener."
"The concert was absolutely amazing!","Koncerten var helt fantastisk!"
"She needs more time to finish the report.","Hun har brug for mere tid til at færdiggøre rapporten."
"They live in a beautiful house by the lake.","De bor i et smukt hus ved søen."
"Do you know how to swim?","Kan du svømme?"
"The weather forecast predicts rain tomorrow.","Vejrudsigten forudsiger regn i morgen."
"He likes to go jogging every evening.","Han kan godt lide at jogge hver aften."
"She is allergic to peanuts and shellfish.","Hun er allergisk overfor peanuts og skaldyr."
"The museum exhibits ancient artifacts.","Museet udstiller gamle artefakter."
"Let's have dinner together tonight.","Lad os spise middag sammen i aften."
"He wants to buy a new car next year.","Han vil købe en ny bil næste år."
"She was awarded a scholarship for her studies.","Hun blev tildelt et legat til sine studier."
"The children are playing in the garden.","Børnene leger i haven."
"I enjoy reading books in my spare time.","Jeg nyder at læse bøger i min fritid."
"He's been working at the company for 10 years.","Han har arbejdet i virksomheden i 10 år."
"She volunteers at the local animal shelter.","Hun arbejder som frivillig på det lokale dyreinternat."
